emoji,english,arabic
👛,Purse,محفظة
👜,Handbag,حقيبة يد
👝,Clutch Bag,حقيبة مخلب
🎒,Backpack,حقيبة ظهر
👞,Man’s Shoe,حذاء الرجل
👟,Running Shoe,حذاء الجري
🥾,Hiking Boot,حذاء تنزه
🥿,Flat Shoe,الأحذية المسطحة
👠,High-Heeled Shoe,حذاء بكعب عال
👡,Woman’s Sandal,صندل المرأة
👢,Woman’s Boot,الحذاء المرأة
👑,Crown,تاج
👒,Woman’s Hat,هات المرأة
🎩,Top Hat,قبعة عالية
🎓,Graduation Cap,قبعة التخرج
🧢,Billed Cap,المفوتر كاب
⛑,Rescue Worker’s Helmet,خوذة إنقاذ العمال
💄,Lipstick,أحمر الشفاه
💍,Ring,حلقة
💼,Briefcase,حقيبة
